productCode,productName,productCategory,quantityInStock,buyPrice,MSRP
PROD-0063,Multi-lateral client-driven complexity,Clothing,703.0,49.05,111.28
PROD-0064,Persevering intermediate throughput,Automotive,548.0,404.54,936.04
PROD-0065,Enterprise-wide next generation moratorium,Clothing,949.0,491.76,910.41
PROD-0066,Realigned zero tolerance alliance,Automotive,401.0,,
PROD-0067,Upgradable executive encoding,Clothing,361.0,42.92,69.69
PROD-0068,Exclusive mobile infrastructure,Electronics,8.0,30.96,69.12
PROD-0069,Vision-oriented system-worthy frame,Books,195.0,284.29,549.27
PROD-0070,Advanced modular complexity,Toys,956.0,23.13,29.18
PROD-0071,Balanced optimal frame,Office Supplies,73.0,252.87,347.49
PROD-0072,Secured 6thgeneration workforce,Sports,557.0,131.28,283.99
PROD-0073,Operative foreground complexity,Books,114.0,41.27,64.59
PROD-0074,Cloned optimal product,Food & Beverages,830.0,160.83,328.73
PROD-0075,Sharable asynchronous website,Health & Beauty,295.0,302.16,626.76
PROD-0076,Function-based mission-critical extranet,Clothing,605.0,194.77,388.08
PROD-0077,Digitized bandwidth-monitored portal,Sports,267.0,7.2,12.48
PROD-0078,Customer-focused dedicated Internet solution,Electronics,29.0,117.09,183.87
PROD-0079,Persevering real-time hierarchy,Automotive,86.0,262.94,626.88
PROD-0080,User-centric composite functionalities,Food & Beverages,798.0,490.78,862.11
PROD-0081,Polarized stable open system,Office Supplies,176.0,442.14,820.41
PROD-0082,Diverse mobile hub,Books,757.0,167.15,301.11
PROD-0083,Face-to-face grid-enabled task-force,Clothing,626.0,291.09,631.97
PROD-0084,Down-sized analyzing complexity,Food & Beverages,48.0,25.15,39.54
PROD-0085,User-centric 24hour matrices,Books,38.0,203.39,349.6
PROD-0086,Customizable background Graphic Interface,Office Supplies,,257.99,508.7
PROD-0087,Innovative actuating model,Sports,537.0,107.37,258.59
PROD-0088,Diverse client-driven intranet,Books,602.0,257.52,386.31
PROD-0089,Quality-focused value-added definition,Health & Beauty,33.0,131.81,181.93
PROD-0090,Down-sized dedicated utilization,Food & Beverages,681.0,89.27,125.19
PROD-0091,Phased mission-critical middleware,Office Supplies,564.0,225.52,467.07
PROD-0092,Visionary disintermediate circuit,Sports,466.0,387.39,772.45
PROD-0093,Diverse upward-trending matrices,Food & Beverages,,153.78,293.24
PROD-0094,Centralized heuristic process improvement,Food & Beverages,583.0,236.18,352.45
PROD-0095,Focused 5thgeneration infrastructure,Sports,183.0,147.24,308.08
PROD-0096,Upgradable tangible portal,Office Supplies,927.0,127.11,280.22
PROD-0097,Switchable optimizing task-force,Clothing,486.0,201.66,403.0
PROD-0098,Grass-roots value-added neural-net,Sports,123.0,302.92,574.68
PROD-0099,Multi-lateral zero administration Graphic Interface,Electronics,241.0,68.01,160.05
PROD-0100,Optional content-based installation,Sports,667.0,467.85,947.93
PROD-0002,Monitored mobile pricing structure,Toys,729.0,348.17,843.26
PROD-0003,Exclusive even-keeled strategy,Sports,,345.07,608.13
PROD-0004,Managed 24hour matrices,Health & Beauty,674.0,348.4,714.26
PROD-0005,Optimized responsive hub,Food & Beverages,144.0,233.33,408.23
