orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
36,2024-09-16,2024-09-21,Pending,846,10348.2,Credit Card
37,2023-12-28,2024-01-20,Delivered,121,3884.99,PayPal
38,2025-11-19,2025-11-23,Cancelled,329,12618.08,PayPal
39,2024-09-17,2024-10-09,Delivered,625,6036.1,Credit Card
40,2025-10-13,2025-10-17,Shipped,872,13965.23,Credit Card
41,2024-08-24,2024-09-02,Shipped,542,1971.37,Credit Card
42,2025-10-05,2025-10-29,Shipped,842,11255.39,Credit Card
43,2025-04-03,2025-04-12,Pending,876,11752.91,Cash
44,2024-06-13,2024-06-29,Pending,422,8941.31,PayPal
45,2024-06-12,2024-06-22,Pending,984,75.8,Debit Card
46,2025-06-18,2025-07-10,Pending,704,5606.07,PayPal
47,2024-10-12,2024-10-18,Pending,471,,Debit Card
48,2025-05-31,2025-06-30,Pending,881,3896.35,PayPal
49,2024-10-30,2024-11-12,Delivered,833,1494.18,
50,2025-02-17,2025-03-10,Shipped,882,11062.48,Bank Transfer
51,2024-11-09,2024-11-24,Processing,694,8289.57,Credit Card
52,2024-04-07,2024-04-28,Cancelled,668,12385.21,PayPal
53,2024-10-15,2024-10-31,Shipped,48,9423.99,Bank Transfer
54,2024-10-24,2024-11-17,Cancelled,348,1675.44,Cash
55,2024-01-20,2024-01-27,Pending,110,13119.13,Debit Card
56,2025-03-20,2025-04-19,Shipped,390,6817.95,PayPal
57,2024-09-05,2024-09-25,Pending,215,,Bank Transfer
58,2024-04-20,2024-05-08,Delivered,794,10870.32,Cash
59,2024-03-30,2024-04-06,Cancelled,30,,Debit Card
60,2025-03-10,2025-03-31,Pending,88,9814.96,Bank Transfer
61,2024-05-20,2024-05-23,Pending,590,9341.18,Bank Transfer
62,2025-06-29,2025-07-28,Processing,143,6239.77,PayPal
63,2024-10-13,2024-10-30,Cancelled,65,8214.66,Credit Card
64,2024-09-07,2024-09-10,Pending,680,3636.35,Debit Card
65,2025-03-12,2025-03-15,Pending,334,667.01,PayPal
66,2025-03-17,2025-04-12,Shipped,190,2671.9,Credit Card
67,2024-12-01,2024-12-14,Processing,978,463.84,Credit Card
68,2024-01-10,2024-01-13,Cancelled,643,,Cash
69,2024-06-06,2024-06-14,Delivered,679,1748.06,Bank Transfer
70,2024-04-10,2024-05-01,Processing,183,2297.83,Debit Card
71,2023-12-01,2023-12-31,Cancelled,434,1788.54,Credit Card
72,2024-03-19,2024-03-29,Processing,830,6918.46,Bank Transfer
73,2025-08-05,2025-08-10,Cancelled,747,4996.3,Bank Transfer
74,2025-03-14,2025-04-08,Cancelled,387,134.8,Bank Transfer
75,2023-12-06,2024-01-01,Delivered,799,8342.63,Credit Card
76,2025-08-14,2025-08-18,Cancelled,737,7361.86,Bank Transfer
77,2024-10-22,2024-11-11,Delivered,915,4298.25,Bank Transfer
78,2025-10-08,2025-11-07,Delivered,806,8202.15,PayPal
79,2024-05-26,2024-06-05,Delivered,22,1568.65,Cash
80,2024-06-30,2024-07-26,Shipped,899,12847.4,PayPal
81,2024-03-27,2024-03-31,Delivered,690,13603.14,Debit Card
82,2025-03-11,2025-03-29,Processing,966,10984.36,PayPal
83,2025-06-07,2025-06-13,Processing,689,4043.86,Bank Transfer
84,2024-01-10,2024-01-17,Processing,705,6388.75,Credit Card
85,2025-01-03,2025-01-17,Pending,458,11028.76,Cash
86,2023-12-22,2024-01-07,Pending,154,5443.26,Cash
87,2025-05-01,2025-05-25,Pending,403,6002.68,
88,2024-03-17,,Shipped,805,4035.78,Cash
89,2025-07-25,2025-08-02,Delivered,224,10885.8,Credit Card
90,2025-11-01,2025-11-10,Pending,634,2504.22,Credit Card
91,2025-07-04,2025-07-12,Pending,949,14063.24,Debit Card
92,2025-02-28,2025-03-30,Pending,528,5651.25,Credit Card
93,2024-03-01,2024-03-31,Pending,522,5795.26,PayPal
94,2025-02-27,2025-03-14,Delivered,146,2718.36,Cash
95,2025-01-30,2025-02-17,Cancelled,298,6153.21,Cash
96,2025-05-04,2025-05-21,Delivered,346,1193.62,Debit Card
97,2025-09-27,2025-10-20,Delivered,21,6257.84,PayPal
98,2024-12-10,2024-12-15,Delivered,225,3729.42,Bank Transfer
99,2024-08-20,2024-09-16,Processing,234,12822.05,Credit Card
100,2025-10-05,2025-10-29,Delivered,40,1280.82,Bank Transfer
101,2024-07-12,2024-08-02,Shipped,466,11523.87,Cash
102,2025-05-13,2025-05-24,Processing,278,,PayPal
103,2023-12-09,2023-12-28,Processing,43,7743.86,Credit Card
104,2025-01-08,2025-01-24,Shipped,885,258.04,Bank Transfer
105,2025-07-14,2025-07-23,Pending,713,8300.05,Cash
106,2025-08-18,2025-08-24,Shipped,399,5606.1,PayPal
107,2024-10-13,2024-10-21,Shipped,425,4635.11,Bank Transfer
108,2024-02-06,2024-02-26,Delivered,863,4891.28,Bank Transfer
109,2024-12-24,2025-01-01,Shipped,688,11694.98,Bank Transfer
110,2025-09-01,2025-09-26,Pending,436,11033.31,Cash
111,2025-10-08,2025-11-04,Cancelled,417,6056.08,Credit Card
112,2025-07-13,2025-07-31,Shipped,868,13042.72,Credit Card
113,2023-11-29,2023-12-16,Shipped,109,8879.71,PayPal
114,2025-03-08,2025-04-03,Cancelled,164,7425.3,PayPal
115,2024-09-08,2024-09-14,Pending,484,1811.21,Cash
116,2024-01-06,2024-01-15,Pending,972,163.83,Debit Card
117,2025-11-21,2025-12-15,Delivered,527,9491.51,Debit Card
118,2025-06-10,2025-06-18,Processing,614,4895.53,Credit Card
119,2025-09-10,2025-09-19,Processing,536,4209.64,Bank Transfer
120,2024-11-01,2024-11-12,Processing,586,8117.01,Cash
121,2024-01-08,2024-01-28,Pending,270,1302.03,Credit Card
122,2025-03-26,2025-04-14,Processing,257,7415.03,Cash
123,2024-10-11,2024-10-27,Pending,113,11768.12,Cash
124,2024-07-06,2024-07-27,Cancelled,345,452.27,Debit Card
125,2025-04-14,2025-04-18,Cancelled,287,7389.32,Debit Card
126,2024-05-11,2024-05-25,Pending,835,1627.76,Credit Card
127,2024-01-23,2024-02-10,Cancelled,320,11380.52,Cash
128,2023-12-17,2023-12-20,Cancelled,810,7271.98,Bank Transfer
129,2024-05-19,2024-06-03,Pending,398,13782.73,Cash
130,2024-07-20,2024-08-02,Delivered,575,1790.8,Cash
131,2024-09-10,2024-10-09,Processing,490,14732.69,Credit Card
132,2024-11-12,,Pending,332,1310.94,Cash
133,2024-05-24,2024-05-31,Shipped,924,1071.72,PayPal
134,2024-09-29,2024-10-22,Delivered,936,1258.44,Credit Card
135,2025-04-26,2025-05-04,Delivered,723,1932.53,
136,2025-05-30,2025-06-28,Processing,804,15516.06,PayPal
137,2025-07-27,2025-08-15,Delivered,218,11614.98,Bank Transfer
138,2023-11-30,2023-12-11,Delivered,12,7412.95,Debit Card
139,2025-04-25,2025-05-01,Processing,603,2316.33,PayPal
140,2024-09-20,2024-09-23,Cancelled,88,7137.3,Cash
141,2025-06-19,2025-07-05,Cancelled,355,3370.18,PayPal
142,2025-01-28,2025-02-02,Pending,630,5361.15,Debit Card
143,2024-08-07,2024-08-14,Delivered,256,7006.99,Cash
144,2025-01-31,2025-03-01,Shipped,314,6349.53,Credit Card
145,2025-02-03,2025-02-11,Cancelled,389,10971.53,Debit Card
146,2025-04-26,,Pending,248,3222.88,Credit Card
147,2025-11-06,2025-11-27,Pending,471,4118.36,Debit Card
148,2025-11-02,2025-11-26,Shipped,695,8419.32,Credit Card
149,2024-03-25,2024-04-10,Shipped,633,3153.26,PayPal
150,2024-09-19,2024-09-25,Shipped,524,8065.36,Credit Card
151,2025-06-30,2025-07-25,Delivered,597,16062.02,Credit Card
152,2024-07-25,2024-07-29,Pending,15,9466.9,Cash
153,2024-09-20,2024-10-02,Delivered,776,13420.34,Bank Transfer
154,2025-06-16,2025-07-04,Pending,128,4740.19,Debit Card
155,2025-08-24,2025-09-21,Pending,45,15140.68,Debit Card
156,2025-05-01,2025-05-28,Shipped,425,5256.06,Cash
157,2025-11-18,2025-12-12,Shipped,547,2285.54,Cash
158,2023-11-28,2023-12-27,Cancelled,419,18515.7,Credit Card
159,2025-10-25,2025-11-01,Pending,495,6234.4,Cash
160,2025-01-14,2025-01-27,Shipped,859,5865.2,Credit Card
161,2025-04-13,2025-05-10,Processing,347,11774.06,Bank Transfer
162,2024-12-10,2025-01-09,Processing,120,6226.73,PayPal
163,2023-12-22,2024-01-15,Pending,845,3886.99,Debit Card
164,2024-11-25,2024-12-11,Delivered,713,1223.72,PayPal
165,2025-03-19,2025-03-24,Delivered,620,1270.89,PayPal
166,2024-01-12,2024-01-27,Delivered,225,9070.19,Bank Transfer
167,2024-04-06,2024-05-01,Shipped,182,12659.48,Credit Card
168,2025-06-11,2025-06-14,Processing,889,2251.45,Credit Card
169,2025-05-20,2025-06-18,Pending,178,4522.2,PayPal
170,2024-09-06,2024-09-17,Delivered,220,1066.46,Bank Transfer
171,2025-02-24,2025-03-25,,352,1800.7,Bank Transfer
172,2025-02-03,2025-02-19,Delivered,235,5596.6,Credit Card
173,2025-03-11,2025-04-06,Processing,482,14116.95,Credit Card
174,2024-07-29,2024-08-16,Processing,233,2548.52,Cash
175,2025-05-25,2025-06-21,Cancelled,683,5184.44,Debit Card
176,2024-07-30,2024-08-26,Pending,799,8221.02,PayPal
177,2024-04-14,2024-05-10,Delivered,790,876.5,Cash
178,2025-10-22,2025-11-12,Delivered,188,21.35,Cash
179,2024-04-12,2024-05-08,Pending,171,4261.54,Cash
180,2024-09-03,2024-09-28,Cancelled,407,7384.13,Credit Card
181,2024-07-25,2024-07-29,Cancelled,435,7703.0,Bank Transfer
182,2025-04-09,2025-04-15,Cancelled,505,6020.31,Debit Card
183,2024-04-22,,Shipped,212,3547.01,Credit Card
184,2024-06-20,2024-07-13,Processing,948,914.22,PayPal
185,2024-07-17,2024-07-22,Cancelled,211,6800.91,Debit Card
186,2024-08-29,2024-09-01,Delivered,784,815.28,PayPal
187,2025-05-12,2025-06-04,Cancelled,185,7010.62,PayPal
188,2023-12-29,2024-01-05,Processing,597,2881.4,Cash
189,2024-06-18,2024-07-08,Cancelled,279,2509.1,Cash
190,2025-06-28,,Delivered,518,4137.36,PayPal
191,2024-11-11,2024-11-30,Shipped,184,5271.57,Bank Transfer
192,2024-11-16,2024-12-14,Processing,481,3374.73,Cash
193,2024-01-29,2024-02-08,Pending,703,1931.85,Bank Transfer
194,2025-08-16,2025-08-24,Pending,755,6035.0,PayPal
195,2024-07-31,2024-08-03,Processing,873,7572.02,PayPal
196,2025-04-02,2025-04-30,Cancelled,520,6677.06,Cash
197,2025-05-05,2025-05-15,Delivered,137,12083.48,PayPal
198,2025-05-06,2025-05-30,Delivered,518,4458.52,Bank Transfer
199,2024-11-28,2024-12-17,Pending,833,7315.49,Debit Card
200,2024-04-20,2024-05-03,Cancelled,949,22036.94,Bank Transfer
201,2025-10-10,2025-10-31,Delivered,353,3432.45,Cash
202,2025-04-02,2025-04-14,Processing,382,913.2,Debit Card
203,2025-07-30,2025-08-08,Cancelled,31,5544.65,Debit Card
204,2024-10-21,2024-11-03,Shipped,393,7548.37,PayPal
205,2024-03-04,2024-03-30,Delivered,480,2050.94,Credit Card
206,2025-02-08,2025-03-05,Pending,371,7462.18,Debit Card
207,2024-07-21,2024-08-16,Cancelled,157,5910.66,
208,2024-08-30,2024-09-19,Pending,250,7163.6,Bank Transfer
209,2024-09-26,2024-10-04,Shipped,425,828.59,Bank Transfer
210,2025-10-16,2025-10-28,Pending,522,6790.2,PayPal
211,2024-03-13,2024-04-10,Processing,20,8945.14,PayPal
212,2024-09-29,2024-10-12,Delivered,628,8433.07,Cash
213,2024-08-02,2024-08-14,Cancelled,780,15114.46,Cash
214,2025-06-19,2025-06-28,Pending,403,4003.14,Debit Card
215,2024-10-26,2024-10-30,Shipped,1000,2480.99,Cash
216,2025-06-19,2025-07-11,Shipped,586,2351.5,PayPal
217,2025-03-13,2025-03-19,Pending,874,16322.45,Debit Card
218,2023-12-28,2024-01-06,Processing,647,3278.62,Cash
219,2024-03-31,2024-04-14,Pending,51,7833.21,Bank Transfer
220,2024-07-20,2024-08-06,Cancelled,578,12387.08,Cash
221,2024-03-08,2024-03-28,Shipped,251,5939.62,Credit Card
222,2025-01-09,2025-01-23,Processing,612,8677.98,PayPal
223,2024-08-03,2024-08-10,Shipped,955,3892.04,Debit Card
224,2025-10-08,2025-10-24,Pending,799,13034.1,Bank Transfer
225,2024-02-12,2024-02-23,Shipped,657,4345.01,Debit Card
226,2024-11-25,2024-12-05,Shipped,361,8924.31,Debit Card
227,2024-03-27,2024-03-31,Delivered,102,4795.35,Debit Card
228,2024-09-20,2024-09-23,Delivered,293,14378.92,Debit Card
229,2025-03-17,,Processing,581,4445.9,
230,2025-07-07,2025-07-13,Processing,138,1130.85,Credit Card
231,2024-02-14,2024-02-26,Cancelled,154,1147.58,Cash
232,2025-09-23,2025-10-11,Delivered,253,6298.67,Debit Card
233,2025-06-20,2025-06-29,Cancelled,313,,Cash
234,2025-11-01,2025-11-21,Pending,115,6360.16,Credit Card
235,2024-11-24,2024-12-14,Processing,346,7928.11,Cash
236,2025-09-18,2025-10-03,Processing,313,2595.57,PayPal
237,2024-08-24,2024-09-16,Shipped,15,7843.74,Bank Transfer
238,2024-06-22,2024-07-17,Processing,647,10736.2,Credit Card
239,2024-03-09,2024-04-01,Processing,352,3830.45,Debit Card
240,2024-04-03,2024-04-06,Pending,969,6069.59,Cash
241,2025-05-06,2025-05-27,Cancelled,889,6057.12,PayPal
242,2024-05-07,,Shipped,645,5479.61,Cash
243,2024-12-14,2025-01-13,Processing,901,7781.58,Bank Transfer
244,2025-08-27,2025-09-23,Processing,634,6895.2,Debit Card
245,2025-09-25,2025-09-29,Pending,636,9901.28,Debit Card
246,2024-02-26,2024-03-18,Pending,558,6617.62,Credit Card
247,2025-04-13,2025-05-13,Processing,912,4697.52,Cash
248,2024-11-17,2024-11-27,Shipped,720,8278.76,
249,2025-11-09,2025-12-02,Delivered,368,11926.94,PayPal
250,2025-01-01,2025-01-08,Cancelled,787,1193.86,Debit Card
251,2025-09-01,2025-09-04,Processing,551,3823.36,Bank Transfer
252,2024-10-06,2024-10-09,Shipped,604,4496.37,Bank Transfer
253,2024-06-22,2024-07-11,Processing,875,5075.98,Cash
254,2025-01-22,2025-01-30,Pending,215,4491.76,PayPal
255,2024-10-18,2024-11-03,Pending,30,2277.66,PayPal
256,2024-02-22,2024-03-17,Pending,379,12024.38,Cash
257,2025-06-03,2025-06-29,Processing,778,6100.54,Cash
258,2023-12-01,2023-12-08,Delivered,192,1478.84,Cash
259,2024-10-06,2024-10-27,Processing,608,9141.18,PayPal
260,2024-04-07,2024-04-30,Pending,685,5774.03,Credit Card
261,2024-04-01,2024-04-18,Pending,80,6571.69,Credit Card
262,2025-01-11,2025-02-05,Cancelled,956,6529.94,Debit Card
263,2025-02-06,2025-03-06,Shipped,311,2080.75,Bank Transfer
264,2024-01-05,2024-01-15,Shipped,828,4437.18,PayPal
265,2023-12-09,2024-01-08,Delivered,814,5793.02,Cash
266,2025-02-03,2025-02-15,Delivered,308,4840.92,PayPal
267,2024-10-21,2024-11-12,Processing,304,13977.13,Cash
268,2025-07-23,2025-08-20,Cancelled,261,3420.38,PayPal
269,2024-12-21,2024-12-25,Shipped,996,17503.98,Credit Card
270,2023-12-22,2024-01-08,Delivered,355,6534.32,Credit Card
271,2025-03-28,2025-04-04,Processing,79,15477.61,PayPal
272,2024-03-12,2024-03-25,Shipped,61,14140.46,Cash
273,2024-08-19,2024-09-06,Delivered,343,13323.72,PayPal
274,2025-05-19,2025-05-25,Pending,726,1929.99,Cash
275,2025-04-26,2025-05-14,Delivered,112,16088.28,Cash
276,2024-10-09,,Processing,842,3311.69,Credit Card
277,2025-06-11,,Pending,610,18658.98,Bank Transfer
278,2023-11-26,2023-12-04,Processing,163,4735.21,Credit Card
279,2024-05-16,2024-05-30,Delivered,980,2765.28,Debit Card
280,2024-03-13,2024-04-08,Pending,619,7185.59,Cash
281,2025-09-18,2025-10-04,Shipped,248,3865.55,PayPal
282,2025-06-01,2025-06-21,Shipped,675,7186.0,Credit Card
283,2024-04-21,2024-05-15,Cancelled,763,7712.27,Debit Card
284,2024-10-31,2024-11-28,Processing,629,337.98,Debit Card
285,2024-03-11,2024-04-08,Processing,880,10625.68,PayPal
286,2025-08-23,2025-09-14,Pending,820,3809.72,Credit Card
287,2024-11-23,2024-12-07,Shipped,301,10283.56,PayPal
288,2024-02-20,2024-03-06,Pending,917,733.28,Cash
289,2025-09-03,2025-09-08,Delivered,219,8495.7,Credit Card
290,2024-11-20,2024-11-25,Pending,343,6149.62,Debit Card
291,2024-03-26,2024-03-29,Cancelled,633,11266.09,Bank Transfer
292,2025-07-07,2025-07-28,Cancelled,615,4316.67,PayPal
293,2023-11-26,2023-12-26,Processing,520,2326.59,Bank Transfer
294,2025-05-22,2025-06-03,Pending,887,5648.25,Bank Transfer
295,2024-07-25,2024-08-16,Shipped,753,1440.35,Bank Transfer
296,2025-10-11,2025-11-08,Shipped,631,10364.23,PayPal
297,2025-10-12,2025-11-09,Cancelled,836,8653.72,Bank Transfer
298,2024-03-05,2024-03-13,Pending,779,2584.96,Credit Card
299,2025-10-17,2025-10-26,Shipped,81,11215.72,Credit Card
300,2025-04-11,2025-04-28,Shipped,879,8820.21,Bank Transfer
301,2025-03-06,2025-03-17,Processing,389,5317.77,Cash
302,2024-10-07,2024-10-16,Delivered,852,5478.1,PayPal
303,2024-04-22,2024-04-29,Delivered,226,3653.11,Bank Transfer
304,2025-10-26,2025-11-02,Pending,896,1618.55,Credit Card
305,2024-11-10,2024-11-13,Processing,126,1338.54,Credit Card
306,2024-02-06,2024-02-14,Pending,501,11627.92,
307,2025-03-11,2025-04-04,Delivered,290,8136.94,Credit Card
308,2025-08-17,2025-09-05,Cancelled,353,8511.62,Cash
309,2023-12-27,2024-01-22,Processing,707,4002.2,Credit Card
310,2025-05-19,2025-06-08,Processing,869,2246.57,PayPal
311,2025-09-22,2025-10-16,Processing,557,8160.08,Cash
312,2024-08-15,2024-09-12,Processing,972,7356.22,Debit Card
313,2025-05-14,2025-05-30,Cancelled,358,5981.01,Debit Card
314,2025-07-30,2025-08-27,Cancelled,825,9790.53,Debit Card
315,2025-05-16,2025-05-21,Shipped,264,1536.4,Debit Card
316,2024-08-22,2024-09-14,Delivered,849,2996.04,Bank Transfer
317,2024-08-22,2024-09-14,Shipped,853,12308.14,Cash
318,2024-01-14,2024-01-17,Processing,725,1582.49,Bank Transfer
319,2024-08-22,2024-08-28,Processing,191,14261.72,Credit Card
320,2024-10-17,2024-10-20,Delivered,196,10065.9,Bank Transfer
321,2025-03-08,2025-03-11,Cancelled,761,587.34,Credit Card
322,2024-04-03,2024-05-01,Processing,361,6786.03,Cash
323,2024-10-09,2024-10-21,Pending,776,1293.64,Bank Transfer
324,2025-11-20,2025-11-26,Processing,124,,PayPal
325,2025-06-03,2025-06-29,Cancelled,649,6472.23,Credit Card
326,2025-04-06,2025-04-11,Processing,918,9937.31,Bank Transfer
327,2024-12-17,2024-12-29,Delivered,704,954.58,PayPal
328,2024-04-25,2024-05-20,Pending,141,9788.79,Cash
329,2023-12-22,2024-01-19,Delivered,513,8211.12,Bank Transfer
330,2025-07-07,2025-07-24,Shipped,456,5293.93,PayPal
331,2025-10-22,2025-10-28,Shipped,374,11240.5,Bank Transfer
332,2024-11-16,2024-12-12,Delivered,238,6656.57,Cash
333,2024-12-27,2024-12-30,Processing,711,3650.25,Cash
334,2025-02-25,2025-03-23,Cancelled,40,6641.71,PayPal
335,2025-02-10,2025-02-14,Delivered,873,9529.17,PayPal
336,2025-07-22,2025-08-01,Processing,472,902.71,Cash
337,2025-08-08,2025-09-01,Processing,556,3181.91,Credit Card
338,2024-09-13,2024-10-08,Delivered,296,7623.05,PayPal
339,2025-01-27,2025-02-14,Delivered,608,7610.1,Cash
340,2025-02-18,,Cancelled,981,9299.59,Cash
341,2025-04-25,2025-05-10,Delivered,904,11710.83,PayPal
342,2024-11-08,2024-11-27,Delivered,529,4141.18,Cash
343,2024-07-18,2024-08-07,Shipped,267,6872.47,Bank Transfer
344,2024-07-18,2024-08-17,Cancelled,543,10796.37,Bank Transfer
345,2025-02-16,2025-02-27,Pending,940,11231.57,Debit Card
346,2024-01-12,2024-01-17,Delivered,386,9099.39,PayPal
347,2025-06-24,2025-07-23,Delivered,124,10631.68,Bank Transfer
348,2024-08-20,2024-09-16,Pending,471,7703.35,PayPal
349,2024-09-28,2024-10-01,Shipped,958,5999.64,Cash
350,2024-08-13,2024-08-18,Shipped,540,2032.98,Debit Card
351,2024-03-06,2024-04-02,Cancelled,825,5543.9,Credit Card
352,2024-12-19,2025-01-17,,559,2331.34,Bank Transfer
353,2024-12-03,2024-12-07,Shipped,764,9644.78,Cash
354,2024-08-16,2024-09-06,Cancelled,306,2430.22,Debit Card
355,2025-08-23,2025-08-31,Cancelled,575,8005.0,Debit Card
356,2024-04-23,2024-05-20,Pending,840,2082.43,
357,2025-02-21,2025-03-02,Shipped,634,,Cash
358,2024-05-22,2024-05-25,Processing,595,7267.55,Bank Transfer
359,2024-11-01,2024-11-16,Cancelled,612,9792.58,Cash
360,2024-07-12,2024-08-05,Processing,991,5818.3,Cash
361,2024-01-10,2024-01-19,Processing,656,5908.93,Bank Transfer
362,2025-07-14,2025-08-09,Cancelled,647,9194.1,
363,2024-03-26,2024-04-12,Processing,781,1799.95,Cash
364,2024-08-10,2024-08-19,Processing,978,4260.1,PayPal
365,2025-04-09,2025-05-09,Cancelled,131,7950.45,Credit Card
366,2024-03-27,2024-04-21,Cancelled,558,6125.88,Credit Card
367,2025-01-26,2025-02-23,Cancelled,946,6987.88,Cash
368,2025-05-23,2025-05-29,Shipped,866,11463.26,Bank Transfer
369,2024-05-06,2024-05-20,Delivered,986,2648.59,Debit Card
370,2024-12-06,2024-12-17,Shipped,969,11896.32,Debit Card
371,2024-03-26,2024-04-25,Shipped,807,9843.36,Credit Card
372,2023-12-20,2023-12-31,Pending,16,13476.12,PayPal
373,2024-07-20,2024-08-06,Delivered,957,3641.13,Credit Card
374,2024-07-10,2024-08-06,Shipped,316,2579.08,Debit Card
375,2025-10-31,2025-11-21,Processing,185,7870.45,Debit Card
376,2025-05-04,2025-05-09,Processing,255,3390.94,Cash
377,2025-09-23,2025-10-04,Delivered,238,2361.05,PayPal
378,2024-12-03,2024-12-25,Pending,147,9697.57,Credit Card
379,2025-05-22,2025-06-01,Cancelled,497,3588.09,Bank Transfer
380,2023-12-27,2024-01-19,Pending,125,3353.16,Credit Card
381,2025-01-30,2025-02-24,Processing,911,565.08,Bank Transfer
382,2025-08-12,2025-09-06,Delivered,567,6985.27,Bank Transfer
383,2024-11-04,2024-11-09,Shipped,822,4812.53,Cash
384,2024-07-25,2024-08-13,Processing,6,5458.2,Bank Transfer
385,2024-10-31,,Processing,285,8406.74,PayPal
386,2024-03-23,2024-04-11,Processing,209,5707.49,PayPal
387,2024-11-22,2024-12-22,Pending,318,8192.36,Bank Transfer
388,2025-08-19,2025-09-09,Shipped,613,3645.5,Debit Card
389,2025-04-21,2025-05-06,Shipped,838,9287.67,Bank Transfer
390,2025-11-01,,Shipped,965,2872.06,Debit Card
391,2025-10-14,2025-11-02,Delivered,575,8704.22,PayPal
392,2025-10-18,2025-11-09,Processing,487,6705.03,Credit Card
393,2024-11-01,2024-11-05,Processing,437,6942.19,Cash
394,2025-06-27,2025-07-15,Processing,261,6570.54,Cash
395,2024-08-07,2024-08-30,Pending,92,5177.26,Bank Transfer
396,2023-12-06,2023-12-18,Shipped,744,6769.15,Debit Card
397,2024-03-31,2024-04-05,Shipped,25,9812.79,PayPal
398,2025-04-11,,Delivered,783,10540.86,Credit Card
399,2024-06-16,2024-06-27,Cancelled,980,4644.01,Credit Card
400,2024-05-07,2024-06-01,Cancelled,862,,Debit Card
401,2025-04-08,2025-05-01,Processing,45,7549.25,PayPal
402,2024-02-01,2024-02-14,Cancelled,812,9177.23,Bank Transfer
403,2023-12-28,2024-01-17,Processing,641,685.81,Credit Card
404,2025-11-08,2025-11-26,Shipped,646,12024.49,Bank Transfer
405,2025-03-14,2025-04-01,Processing,563,7486.61,Debit Card
406,2025-06-11,2025-06-22,Delivered,448,1117.74,Credit Card
407,2024-04-13,2024-05-05,Shipped,319,8029.71,Cash
408,2024-05-26,2024-06-23,Cancelled,816,9498.32,Debit Card
409,2025-04-09,2025-04-12,Pending,220,1823.85,PayPal
410,2025-07-30,2025-08-05,Cancelled,38,6171.65,Bank Transfer
411,2025-09-12,2025-09-27,Shipped,689,3679.75,Bank Transfer
412,2024-06-06,2024-06-16,,486,4830.78,Debit Card
413,2025-04-13,2025-04-23,Delivered,290,7797.57,Credit Card
414,2025-10-22,2025-11-20,Processing,952,14383.67,PayPal
415,2025-07-26,2025-08-22,Delivered,22,10720.12,Cash
416,2024-09-23,2024-10-11,Cancelled,157,9116.72,Credit Card
417,2025-01-14,2025-01-23,Cancelled,648,14496.11,Credit Card
418,2025-02-10,2025-02-14,Cancelled,273,6707.58,PayPal
419,2024-12-16,2025-01-08,Delivered,603,3842.62,Debit Card
420,2024-02-03,2024-02-13,Processing,57,11158.86,PayPal
421,2024-10-09,2024-10-21,Delivered,786,5635.02,PayPal
